Groups	Bray-dist
BaAka_BaAka	0.107217425
BaAka_BaAka	0.100839122
BaAka_BaAka	0.088776625
BaAka_BaAka	0.093361874
BaAka_BaAka	0.097588472
BaAka_BaAka	0.09675835
BaAka_BaAka	0.125002273
BaAka_BaAka	0.120986596
BaAka_BaAka	0.090372459
BaAka_BaAka	0.065525127
BaAka_BaAka	0.058788547
BaAka_BaAka	0
BaAka_BaAka	0.157389216
BaAka_BaAka	0.06976925
BaAka_BaAka	0.112199193
BaAka_BaAka	0.106232319
BaAka_BaAka	0.07684528
BaAka_BaAka	0.097843884
BaAka_BaAka	0.101634908
BaAka_BaAka	0.094441515
BaAka_BaAka	0.123376241
BaAka_BaAka	0.200420731
BaAka_BaAka	0.138558953
BaAka_BaAka	0.152394377
BaAka_BaAka	0.148395448
BaAka_BaAka	0.157389216
BaAka_BaAka	0
BaAka_BaAka	0.15389586
BaAka_BaAka	0.099625572
BaAka_BaAka	0.128227792
BaAka_BaAka	0.167492012
BaAka_BaAka	0.104666614
BaAka_BaAka	0.096378706
BaAka_BaAka	0.12365784
BaAka_BaAka	0.210696832
BaAka_BaAka	0.122120298
BaAka_BaAka	0.094609417
BaAka_BaAka	0.078067227
BaAka_BaAka	0.07555962
BaAka_BaAka	0.06976925
BaAka_BaAka	0.15389586
BaAka_BaAka	0
BaAka_BaAka	0.101544043
BaAka_BaAka	0.108679449
BaAka_BaAka	0.068797687
BaAka_BaAka	0.099544937
BaAka_BaAka	0.091680558
BaAka_BaAka	0.092167307
BaAka_BaAka	0.134022179
BaAka_BaAka	0.159737792
BaAka_BaAka	0.095832526
BaAka_BaAka	0.097807298
BaAka_BaAka	0.107217425
BaAka_BaAka	0.112199193
BaAka_BaAka	0.099625572
BaAka_BaAka	0.101544043
BaAka_BaAka	0
BaAka_BaAka	0.088313973
BaAka_BaAka	0.107969063
BaAka_BaAka	0.08816635
BaAka_BaAka	0.081799177
BaAka_BaAka	0.087656506
BaAka_BaAka	0.174008054
BaAka_BaAka	0.144450274
BaAka_BaAka	0.10004505
BaAka_BaAka	0.105551102
BaAka_BaAka	0.100839122
BaAka_BaAka	0.106232319
BaAka_BaAka	0.128227792
BaAka_BaAka	0.108679449
BaAka_BaAka	0.088313973
BaAka_BaAka	0
BaAka_BaAka	0.094675519
BaAka_BaAka	0.089904491
BaAka_BaAka	0.101558087
BaAka_BaAka	0.096435351
BaAka_BaAka	0.162416326
BaAka_BaAka	0.120192148
BaAka_BaAka	0.10463668
BaAka_BaAka	0.077764387
BaAka_BaAka	0.088776625
BaAka_BaAka	0.07684528
BaAka_BaAka	0.167492012
BaAka_BaAka	0.068797687
BaAka_BaAka	0.107969063
BaAka_BaAka	0.094675519
BaAka_BaAka	0
BaAka_BaAka	0.108080045
BaAka_BaAka	0.097251092
BaAka_BaAka	0.091989493
BaAka_BaAka	0.145400845
BaAka_BaAka	0.159548993
BaAka_BaAka	0.112212847
BaAka_BaAka	0.094772154
BaAka_BaAka	0.093361874
BaAka_BaAka	0.097843884
BaAka_BaAka	0.104666614
BaAka_BaAka	0.099544937
BaAka_BaAka	0.08816635
BaAka_BaAka	0.089904491
BaAka_BaAka	0.108080045
BaAka_BaAka	0
BaAka_BaAka	0.0788047
BaAka_BaAka	0.06522298
BaAka_BaAka	0.149271592
BaAka_BaAka	0.148566516
BaAka_BaAka	0.099603523
BaAka_BaAka	0.088553742
BaAka_BaAka	0.097588472
BaAka_BaAka	0.101634908
BaAka_BaAka	0.096378706
BaAka_BaAka	0.091680558
BaAka_BaAka	0.081799177
BaAka_BaAka	0.101558087
BaAka_BaAka	0.097251092
BaAka_BaAka	0.0788047
BaAka_BaAka	0
BaAka_BaAka	0.065109036
BaAka_BaAka	0.162838096
BaAka_BaAka	0.151170283
BaAka_BaAka	0.117256154
BaAka_BaAka	0.092138175
BaAka_BaAka	0.09675835
BaAka_BaAka	0.094441515
BaAka_BaAka	0.12365784
BaAka_BaAka	0.092167307
BaAka_BaAka	0.087656506
BaAka_BaAka	0.096435351
BaAka_BaAka	0.091989493
BaAka_BaAka	0.06522298
BaAka_BaAka	0.065109036
BaAka_BaAka	0
BaAka_BaAka	0.151772964
BaAka_BaAka	0.183684036
BaAka_BaAka	0.158675299
BaAka_BaAka	0.141931895
BaAka_BaAka	0.125002273
BaAka_BaAka	0.123376241
BaAka_BaAka	0.210696832
BaAka_BaAka	0.134022179
BaAka_BaAka	0.174008054
BaAka_BaAka	0.162416326
BaAka_BaAka	0.145400845
BaAka_BaAka	0.149271592
BaAka_BaAka	0.162838096
BaAka_BaAka	0.151772964
