Taxa	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Rickettsia	0.000104476175619711	9.55432891718353e-05	0.000376143759257619	0.000450478375647609	0.000574956172561918	0.000549619738433911	0.000268670175335101	0.000107345423413487	0.00030700759793966	0.000542842848466847	0.000318335161611435	0	0	0.000256735952299916	9.69558990409593e-06	6.58385251943129e-05	0	2.24310995902922e-05	2.84270917634364e-05	0	2.16971360129611e-05	1.52482074286217e-05	5.77186791577852e-05	0	9.36455866845155e-06	0	0	0	0	0	0	0	0	0	0	6.9138020301448e-06	0	0	3.61027567118895e-06	1.63434064848427e-05	0	0	0	0	0	0	8.8802963005792e-06	0	0	0	0
Anaeromyxobacter	0.000450978521388042	0.000785804592875006	0.000340054071273651	0.000524413098157677	0.001228495792276	0.00056978417851782	0.000243050434650699	0.00033479588728731	0.000691639276040197	0.00118828807859315	0.000843551569319951	0.000432974637793369	0.000868469886076918	0.000432499972093923	0.000464987118572987	0.000456097945457409	0.00033256208670543	0.000517230217104428	0.000333021746267753	0.000584619625630599	0.000288945997524331	0.000641581472565663	0.000368105852076978	7.08030303967393e-06	2.05858832797857e-05	0	0	1.0922306255593e-06	0	0	0	9.00842499326423e-05	8.72054928028288e-05	3.21742362158084e-07	0	7.9461041953354e-05	1.67805065608132e-05	6.70982788067687e-06	3.85428050965551e-05	3.41069986366442e-05	0	5.70473114642538e-05	0	1.73276443611715e-05	1.75246431111679e-05	1.86938465362455e-06	4.87089355705334e-05	1.82646829080265e-05	6.66649935060482e-05	0	1.04002201280877e-06
Anaerolinea	0.000894744683512395	0.00107105585584161	0.00131155603163308	0.00193833287996521	0.00202485891982395	0.00171582735576389	0.00101846896766772	0.00147147196588657	0.00196253111816054	0.000771992626540706	0.000807349385083534	0.00106064981966792	0.00117173499270846	0.00150303042329896	0.000866384540602559	0.00326732912303821	0.00491948550211814	0.00255590777538488	0.00109637084716132	0.00210537983716975	0.00103896860494248	0.000403867176756012	0.00315124085208695	1.58504158740194e-05	2.23780660594377e-05	3.75681890254481e-05	8.20465908712981e-06	8.76441277644749e-05	1.36490935192441e-05	6.13046952312977e-06	5.68666019569283e-06	2.52320535630478e-05	2.52577743119591e-05	3.7179117404934e-06	7.95705596748806e-06	1.03230216519059e-05	1.6319770108999e-05	4.38881823641758e-06	1.59599083119456e-05	8.22805981650703e-06	1.56352350246857e-05	1.12882462259944e-05	9.82277621224834e-07	1.52007854865151e-05	6.38372728101427e-06	3.56726612801747e-06	4.24621064487466e-06	2.12712992433903e-06	2.91309215320547e-06	3.55272600666491e-06	2.37719317213432e-06
Atopobium	0.000143525949347394	0.000210147284715467	0.000193586708354449	0.000257299377230825	0.000151826271682353	0.000272034946269628	0.000442024802268695	0.000175835754916572	0.000132322268267824	0.000392350437297503	0.000255693179898986	0.000294451562657923	0.000162758631651311	0.00056325989811003	0.000179535578568949	0.00040667644682147	0.00065633696380279	0.000563562040051272	0.000697803415747067	0.00050646601905875	0.000230239034105353	0.000384202247175651	0.000401741909930997	9.11821365204786e-05	2.6882741694779e-05	6.58977956189843e-05	2.41300261766891e-05	1.17340992881033e-05	2.88606755875894e-05	2.05329545448396e-05	1.90509935093115e-05	2.16614799456353e-05	7.75754383828843e-05	5.91648454857364e-05	1.14697678149396e-05	2.36499710824264e-05	2.49767655457192e-05	1.41370587423067e-05	4.33980034129816e-05	1.54191586698378e-05	2.06710561507799e-06	1.08336859752833e-05	3.48204823421367e-06	2.67733999515574e-05	1.07036742355637e-05	1.26397843093697e-05	2.51506322811806e-05	1.04924774152492e-05	1.98127613753269e-05	1.42336779113178e-05	2.07547250028651e-05
Chroococcales	3.4310223354402e-05	4.34560129545674e-05	1.90585992724322e-05	4.80902841105293e-05	1.80055276970027e-05	3.8108941809958e-05	7.77019766809795e-05	8.23201099796682e-05	5.61933549800271e-05	0.000154773084198162	8.76987743974256e-05	9.36291149095723e-06	1.23976301453147e-05	2.78174910359467e-05	6.29210351707192e-05	5.45908737806166e-05	5.94826496546298e-05	4.56356853733532e-06	2.81656932184854e-05	2.34120281124821e-05	4.49903831808986e-05	1.96123495547445e-05	3.90098659135376e-05	3.37961958934316e-07	0	0	0	2.59773770403294e-06	0	0	0	0	1.09816410051996e-06	3.5749151350898e-07	0	4.76813933113433e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_oralis	0.000846318842741918	0.000463810521713714	0.000357247360830058	0.000272675182354599	0.000290682459854154	0.000154193218439806	0.000511636334523022	0.000764424541271199	0.000400455527507332	0.000350346333202236	0.000581106071911699	0.000257239991347709	0.00018914333170416	8.4338380465673e-05	0.000310459475342878	0.000743878763951273	0.000523176941280493	0.000340720667914611	0.000676826182514738	0.000182443549981997	0.000185099015503676	0.000575856440545741	0.000746362230488602	0	0	0	6.69653245108674e-06	0	2.7600604177024e-05	0	0	3.14739452201539e-06	0	2.12707450537844e-06	1.34399409815537e-06	0	2.90991443251097e-07	1.00436417333402e-05	1.48145794783271e-05	3.75785636003211e-05	1.20947668967329e-05	1.94703307387958e-05	0	4.64989734361161e-06	8.32507996099394e-06	0	9.71728974500163e-06	0	1.61900698514689e-05	2.81257475527638e-06	1.49717454591152e-05
Adlercreutzia	0.000219461789023653	0.000495278669025643	0.00138608731985165	0.00117265049928022	0.000694128351641231	0.00131901337429612	0.000904444266529578	0.000324176593099934	0.000464124716852773	0.00105144031270316	0.000538802395950046	0.000293611301370274	0.00129269135861339	0.00106397473675707	0.000677621435090401	0.0011328884451684	0.00194400114098541	0.00153838668879767	0.00252844277567614	0.00189969452837065	0.000591059912077216	0.00126954471849679	0.000866775337007431	8.16347111805843e-05	3.25337684774652e-05	3.49132475624567e-05	1.0928290773118e-05	8.45740741142541e-06	4.77819078886388e-06	4.90084559766514e-05	5.378462304991e-05	7.89757986784701e-05	0.000203188516650052	2.25398399267413e-05	1.08435887464808e-05	5.39276558351293e-05	8.50664985770704e-05	2.16064897792866e-05	4.57135595331235e-05	1.94993746336399e-05	3.73838249535382e-07	6.64163032983567e-06	1.58927481793043e-05	4.78334731221751e-05	2.16347141003141e-05	1.81793369985507e-05	0.000100337140959418	3.64270999543059e-05	7.48067126009045e-05	2.62810628954572e-05	1.5348896298925e-05
Thermodesulfovibrio	0	0	0	1.60300947035097e-05	0	0	0	0	0	0	7.97261585431142e-06	0.000117636580271001	4.67295290092631e-05	1.73637842135209e-05	1.96586443572704e-05	3.34021163194616e-05	3.31210208304189e-05	5.30611528239327e-05	2.56170574052117e-05	0.000141919457685483	3.42166328848076e-05	1.03056850207236e-05	2.92573994351532e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20917770415805e-06	0	0	0	0	0	0	6.0018554307363e-06	0	0	0	1.12002370610175e-06
Solobacterium	0.000590486156288525	0.00038684842428797	0.00205500360410281	0.00130105482930323	0.000458835777838027	0.001874552948351	0.00086913284762575	0.000718160639462625	0.000547480270027137	0.00101839886776198	0.00140716669828596	7.0221836182179e-05	0.000279582454174469	0.000152907609961923	6.20517753862139e-05	0.000132585951512965	0.000316339545890531	0.000179216750864507	0.000114950010142264	0.000173759815918458	0.000113822676739258	0.000301704186984246	0.000105983436729381	0.00028417531316992	0.000126857478375903	0.000422979749150081	1.15247886217022e-05	2.760096310535e-06	0	9.31925501404754e-05	0.000101268917537686	1.92546488405647e-05	0.000393846699332633	5.66802794668489e-05	0.000564431703244638	0.00130828206967664	0.000328189849413362	0.000108581051175985	0.000241415399364469	6.16090067904483e-05	3.27658230475128e-06	2.48240403582831e-05	3.98578034766231e-06	0.00017169172523452	7.76016382078363e-05	0.000172412146081538	0.000123344253443907	6.92135352304161e-05	3.47703691619781e-05	4.61398903173278e-05	0.000187112531798958
Sphaerochaeta_pleomorpha	0.000114470444885107	9.15872935097643e-05	6.75566518890895e-05	6.82096886873834e-05	0.000127106818403417	0.000154193218439806	0.000146302203381974	2.28849905743478e-05	6.92760651195012e-05	0.000204402137126009	7.34619603718695e-05	0.000383399221822017	0.000441546365944669	0.000701284264460363	0.000125374007380551	0.000295847315972374	9.39555488862901e-05	0.000128940148334542	4.08435226486156e-05	7.68765868566231e-05	3.11740459956338e-05	0.000131450064039842	0.000248787410162867	2.3488356145935e-06	0	0	0	0	0	0	0	0	0	0	0	0	3.3706508843252e-06	0	1.71799325042784e-06	0	0	1.74248096105955e-06	0	0	0	0	0	0	7.78691940953e-06	0	0
