Samples	Prevotella	Prevotella_copri	Faecalibacterium	Ruminococcus_sp.	Candidatus	Olsenella	Bacteroides_ovatus	Collinsella_aerofaciens	Prevotella_stercorea	Treponema	Bacteroides_sp.	Collinsella	Eubacterium_rectale	Lactococcus_lactis	Leuconostoc_citreum	Ruminococcus_bromii
X2011_109	0.017306862	0.001191731	0.004055701	0.001116107	0.067924202	0.000530685	0.000231432	0.000126759	0.000421331	0.018496192	0.000485191	0.000751554	0.00540192	0.000271404	0.000154848	0.00051352
X2011_118	0.016789252	0.001563373	0.003453376	0.001562737	0.015708274	0.001580062	0.000475878	0.000288324	0.000447268	0.018717719	0.000847171	0.001948971	0.002707452	0.000296589	0.000332193	0.001104025
X2011_119	0.008981152	0.00202607	0.005673174	0.00142259	0.011507228	0.001199164	0.00094987	0.000269493	0.000910181	0.005933276	0.002924735	0.00135721	0.001445801	0.000316446	0.000178245	0.000986901
X2011_149	0.01011698	0.000477224	0.00151191	0.000951505	0.009453601	0.005683421	0.000125107	0.000293676	0.000259374	0.004971163	0.000356998	0.003713277	0.002555356	0.000167567	0.000190167	0.000447067
X2011_56	0.022521831	0.000954289	0.003333963	0.000892711	0.011934724	0.009732343	0.000385601	0.000349245	0.000407074	0.007452251	0.00037833	0.005458576	0.001569104	0.000214785	0.000109579	0.000366344
X2011_60	0.019195659	0.000581308	0.002990355	0.001119693	0.006009775	0.017780919	0.000386299	0.000540751	0.000364331	0.005475108	0.000462004	0.009124165	0.001026752	0.000373118	0.000203796	0.000423138
X2011_62	0.01813771	0.000833663	0.002844882	0.002272116	0.00195839	0.026029435	0.000271262	0.000582435	0.000403682	0.004195312	0.000225317	0.014106919	0.001808256	6.79E-05	2.89E-05	0.000454965
X2011_66	0.01713108	0.000832946	0.002296844	0.001394496	0.003382563	0.035753962	0.000512341	0.000697411	0.000245192	0.002956744	0.000332303	0.018610531	0.001093692	0.000977108	0.00022794	0.000231599
X2011_69	0.007883809	0.000844451	0.002565703	0.001554133	0.017626873	0.029612895	0.000252084	0.000735734	0.000169163	0.007160335	0.000328535	0.016339382	0.00226654	0.00022731	0.000110164	0.001466359
X2011_70	0.008577601	0.00040232	0.001912191	0.00084953	0.002948865	0.005978534	0.000107538	0.000170086	0.000149885	0.004682342	0.000198217	0.003342955	0.001113238	9.81E-05	0.000524073	0.00037758
X2011_79	0.021703457	0.001105916	0.002281815	0.001557368	0.005400442	0.017390528	0.000246337	0.000957009	0.000431997	0.006388841	0.000208007	0.012757018	0.001342736	0.000123984	3.92E-05	0.000154217
X2011_85	0.027653318	0.001402066	0.002747111	0.000886579	0.009424664	0.009619216	0.000451201	0.000409405	0.000548526	0.009314103	0.000543551	0.005474915	0.002592862	0.000245603	0.000143899	0.000319841
HU100_S17	0.038822045	0.056665118	0.025994395	0.025849223	2.86E-05	0.000675637	0.002576115	0.02860973	0.002218146	9.82E-05	0.003106935	0.06529131	0.002847532	0.002106973	0.00484264	0.000344214
